Component1	Component2	Covariance
0	0	0.0
0	1	0.0
0	2	0.0
0	3	0.0
0	4	0.0
0	5	0.0
0	6	0.0
0	7	0.0
0	8	0.0
0	9	0.0
0	10	0.0
0	11	0.0
0	12	0.0
0	13	0.0
0	14	0.0
0	15	0.0
0	16	0.0
0	17	0.0
0	18	0.0
0	19	0.0
0	20	0.0
0	21	0.0
0	22	0.0
0	23	0.0
0	24	0.0
0	25	0.0
0	26	0.0
0	27	0.0
0	28	0.0
0	29	0.0
0	30	0.0
0	31	0.0
0	32	0.0
0	33	0.0
0	34	0.0
0	35	0.0
0	36	0.0
0	37	0.0
0	38	0.0
0	39	0.0
0	40	0.0
0	41	0.0
0	42	0.0
0	43	0.0
0	44	0.0
0	45	0.0
0	46	0.0
0	47	0.0
0	48	0.0
0	49	0.0
0	50	0.0
0	51	0.0
0	52	0.0
0	53	0.0
0	54	0.0
0	55	0.0
0	56	0.0
0	57	0.0
0	58	0.0
0	59	0.0
0	60	0.0
0	61	0.0
0	62	0.0
0	63	0.0
0	64	0.0
0	65	0.0
0	66	0.0
0	67	0.0
0	68	0.0
0	69	0.0
0	70	0.0
0	71	0.0
0	72	0.0
0	73	0.0
0	74	0.0
0	75	0.0
0	76	0.0
0	77	0.0
0	78	0.0
0	79	0.0
1	0	0.0
1	1	0.09194756900993896
1	2	0.09658718709481838
1	3	0.09902303780139665
1	4	0.09958684921392982
1	5	0.09857063963202918
1	6	0.09623100972272668
1	7	0.09279299691828884
1	8	0.08845353506126498
1	9	0.08338455818366768
1	10	0.07773578357872936
1	11	0.0716372059456551
1	12	0.06520133132775702
1	13	0.05852517679285239
1	14	0.05169205929504922
1	15	0.044773194884716885
1	16	0.037829127376458875
1	17	0.030911003723200988
1	18	0.02406171165987449
1	19	0.0173168936560595
1	20	0.010705849838353137
1	21	0.004252341296496761
1	22	0.0
1	23	0.0
1	24	0.0
1	25	0.0
1	26	0.0
1	27	0.0
1	28	0.0
1	29	0.0
1	30	0.0
1	31	0.0
1	32	0.0
1	33	0.0
1	34	0.0
1	35	0.0
1	36	0.0
1	37	0.0
1	38	0.0
1	39	0.0
1	40	0.0
1	41	0.0
1	42	0.0
1	43	0.0
1	44	0.0
1	45	0.0
1	46	0.0
1	47	0.0
1	48	0.0
1	49	0.0
1	50	0.0
1	51	0.0
1	52	0.0
1	53	0.0
1	54	0.0
1	55	0.0
1	56	0.0
1	57	0.0
1	58	0.0
1	59	0.0
1	60	0.0
1	61	0.0
1	62	0.0
1	63	0.0
1	64	0.0
1	65	0.0
1	66	0.0
1	67	0.0
1	68	0.0
1	69	0.0
1	70	0.0
1	71	0.0
1	72	0.0
1	73	0.0
1	74	0.0
1	75	0.0
1	76	0.0
1	77	0.0
1	78	0.0
1	79	0.0
2	0	0.0
2	1	0.09658718709481838
2	2	0.10146091747005333
2	3	0.10401967971319527
2	4	0.10461194070470284
2	5	0.10354445380894842
2	6	0.10108676760565131
2	7	0.09747527477824743
2	8	0.09291684633051017
2	9	0.08759209198052972
2	10	0.08165828366456805
2	11	0.07525197553483005
2	12	0.06849135062074971
2	13	0.06147832141203783
2	14	0.054300408985338965
2	15	0.04703242290935894
2	16	0.03973796200254946
2	17	0.032470754061792714
2	18	0.02527585091088873
2	19	0.01819069351662898
2	20	0.01124606047207481
2	21	0.004466911837020495
2	22	0.0
2	23	0.0
2	24	0.0
2	25	0.0
2	26	0.0
2	27	0.0
2	28	0.0
2	29	0.0
2	30	0.0
2	31	0.0
2	32	0.0
2	33	0.0
2	34	0.0
2	35	0.0
2	36	0.0
2	37	0.0
2	38	0.0
2	39	0.0
2	40	0.0
2	41	0.0
2	42	0.0
2	43	0.0
2	44	0.0
2	45	0.0
2	46	0.0
2	47	0.0
2	48	0.0
2	49	0.0
2	50	0.0
2	51	0.0
2	52	0.0
2	53	0.0
2	54	0.0
2	55	0.0
2	56	0.0
2	57	0.0
2	58	0.0
2	59	0.0
2	60	0.0
2	61	0.0
2	62	0.0
2	63	0.0
2	64	0.0
2	65	0.0
2	66	0.0
2	67	0.0
2	68	0.0
2	69	0.0
2	70	0.0
2	71	0.0
2	72	0.0
2	73	0.0
2	74	0.0
2	75	0.0
2	76	0.0
2	77	0.0
2	78	0.0
2	79	0.0
3	0	0.0
3	1	0.09902303780139665
3	2	0.10401967971319527
3	3	0.10664297186972838
3	4	0.1072501692042234
3	5	0.10615576115269772
3	6	0.10363609409195033
3	7	0.09993352233762005
3	8	0.09526013401280918
3	9	0.0898010936665607
3	10	0.08371763950611505
3	11	0.07714976946890519
3	12	0.07021864706474154
3	13	0.06302875493386458
3	14	0.05566982136365557
3	15	0.04821854255961217
3	16	0.040740121250927484
3	17	0.03328964020604807
3	18	0.025913287419317275
3	19	0.018649448088414275
3	20	0.011529677017613437
3	21	0.0045795637392210195
3	22	0.0
3	23	0.0
3	24	0.0
3	25	0.0
3	26	0.0
3	27	0.0
3	28	0.0
3	29	0.0
3	30	0.0
3	31	0.0
3	32	0.0
3	33	0.0
3	34	0.0
3	35	0.0
3	36	0.0
3	37	0.0
3	38	0.0
3	39	0.0
3	40	0.0
3	41	0.0
3	42	0.0
3	43	0.0
3	44	0.0
3	45	0.0
3	46	0.0
3	47	0.0
3	48	0.0
3	49	0.0
3	50	0.0
3	51	0.0
3	52	0.0
3	53	0.0
3	54	0.0
3	55	0.0
3	56	0.0
3	57	0.0
3	58	0.0
3	59	0.0
3	60	0.0
3	61	0.0
3	62	0.0
3	63	0.0
3	64	0.0
3	65	0.0
3	66	0.0
3	67	0.0
3	68	0.0
3	69	0.0
3	70	0.0
3	71	0.0
3	72	0.0
3	73	0.0
3	74	0.0
3	75	0.0
3	76	0.0
3	77	0.0
3	78	0.0
3	79	0.0
4	0	0.0
4	1	0.09958684921392982
4	2	0.10461194070470284
4	3	0.1072501692042234
4	4	0.10786082376235494
4	5	0.10676018443613686
4	6	0.1042261710467353
4	7	0.10050251781220441
4	8	0.09580252043023642
4	9	0.09031239772863879
4	10	0.08419430596305161
4	11	0.0775890401827376
4	12	0.07061845377100663
4	13	0.06338762426506751
4	14	0.05598679084182351
4	15	0.048493086395010876
4	16	0.04097208490119771
4	17	0.033479182755782176
4	18	0.026060830935529796
4	19	0.018755633193447932
4	20	0.01159532399865627
4	21	0.004605638583599905
4	22	0.0
4	23	0.0
4	24	0.0
4	25	0.0
4	26	0.0
4	27	0.0
4	28	0.0
4	29	0.0
4	30	0.0
4	31	0.0
4	32	0.0
4	33	0.0
4	34	0.0
4	35	0.0
4	36	0.0
4	37	0.0
4	38	0.0
4	39	0.0
4	40	0.0
4	41	0.0
4	42	0.0
4	43	0.0
4	44	0.0
4	45	0.0
4	46	0.0
4	47	0.0
4	48	0.0
4	49	0.0
4	50	0.0
4	51	0.0
4	52	0.0
4	53	0.0
4	54	0.0
4	55	0.0
4	56	0.0
4	57	0.0
4	58	0.0
4	59	0.0
4	60	0.0
4	61	0.0
4	62	0.0
4	63	0.0
4	64	0.0
4	65	0.0
4	66	0.0
4	67	0.0
4	68	0.0
4	69	0.0
4	70	0.0
4	71	0.0
4	72	0.0
4	73	0.0
4	74	0.0
4	75	0.0
4	76	0.0
4	77	0.0
4	78	0.0
4	79	0.0
5	0	0.0
5	1	0.09857063963202918
5	2	0.10354445380894842
5	3	0.10615576115269772
5	4	0.10676018443613686
5	5	0.105670776314022
5	6	0.10316262064285633
5	7	0.0994769645146349
5	8	0.09482492710340767
5	9	0.08939082701261872
5	10	0.08333516581416174
5	11	0.07679730184874536
5	12	0.06989784507671061
5	13	0.06274080079730517
5	14	0.05541548736388026
5	15	0.04799825058647268
